2026-03-06,Illinois St.,Northern Iowa,52.0,74.0,126.0,22.0,70.6,71.7,142.3,1.1,86.0,78.0,164.0,-8.0,1.5,127.5,-20.9,16.3,0.4,NO
2026-03-06,San Diego St.,UNLV,89.0,86.0,175.0,-3.0,85.8,77.6,163.3,-11.7,85.0,77.1,162.0,-11.4,-9.5,153.5,-8.7,-11.7,2.2,NO
2026-03-06,Morehead St.,Missouri,66.0,61.0,127.0,-5.0,73.4,89.4,162.8,16.1,73.0,90.4,163.4,17.3,2.5,139.5,21.1,35.8,13.6,NO
2026-03-06,Seattle,San Diego,58.0,56.0,114.0,-2.0,78.9,72.9,151.8,-6.1,78.7,72.4,151.1,-6.2,-9.5,139.5,-4.1,37.8,-3.4,YES
2026-03-07,Oklahoma St.,Houston,75.0,82.0,157.0,7.0,75.0,88.4,163.4,9.9,73.9,89.7,163.5,12.3,12.5,147.5,2.9,6.4,-2.6,YES
2026-03-07,Virginia,Virginia Tech,76.0,72.0,148.0,-4.0,82.9,75.3,158.3,-11.1,82.6,75.7,158.3,-10.4,-11.5,144.5,-7.1,10.3,-0.4,YES
2026-03-07,Missouri,Arkansas,84.0,88.0,172.0,4.0,84.0,90.2,174.2,2.7,84.8,89.9,174.7,1.5,-2.5,159.5,-1.3,2.2,-5.2,YES
2026-03-07,Stony Brook,Campbell,89.0,96.0,185.0,7.0,78.9,80.7,159.6,1.7,79.1,80.5,159.6,1.4,,,-5.3,-25.4,,
2026-03-07,Mercyhurst,Stonehill,56.0,51.0,107.0,-5.0,72.5,67.2,139.7,-8.8,72.1,67.4,139.5,-8.1,-5.5,132.5,-3.8,32.7,3.3,NO
2026-03-07,High Point,UNC Asheville,75.0,71.0,146.0,-4.0,86.5,76.2,162.8,-10.3,85.7,75.0,160.8,-10.7,-11.5,148.5,-6.3,16.8,-1.2,YES
2026-03-07,St. Bonaventure,Davidson,63.0,68.0,131.0,5.0,77.8,80.4,158.2,-0.9,,,,,,,-5.9,27.2,,
2026-03-07,DePaul,Butler,71.0,81.0,152.0,10.0,77.2,79.8,157.0,-1.0,,,,,-2.5,143.5,-11.0,5.0,-1.5,YES
2026-03-07,Villanova,Xavier,91.0,78.0,169.0,-13.0,85.8,78.3,164.2,-11.0,85.2,78.6,163.9,-10.1,-11.5,153.5,2.0,-4.8,0.5,NO
2026-03-07,Boston College,Notre Dame,77.0,69.0,146.0,-8.0,71.8,78.1,149.9,2.7,72.9,77.0,149.8,0.6,1.5,142.5,10.7,3.9,1.2,NO
2026-03-07,Clemson,Georgia Tech,79.0,76.0,155.0,-3.0,82.9,70.7,153.5,-15.7,82.9,70.1,153.0,-16.3,-16.5,144.5,-12.7,-1.5,-0.8,YES
2026-03-07,Delaware,Louisiana Tech,38.0,81.0,119.0,43.0,71.1,72.4,143.4,-2.2,71.4,72.3,143.7,-2.7,1.5,133.5,-45.2,24.4,3.7,NO
2026-03-07,Marquette,Connecticut,68.0,62.0,130.0,-6.0,71.9,85.1,157.0,9.8,,,,,9.5,143.5,15.8,27.0,0.3,NO
2026-03-07,UMass Lowell,Albany,81.0,76.0,157.0,-5.0,79.7,80.1,159.7,-3.1,79.9,80.2,160.0,-3.2,,,1.9,2.7,,
